#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 2.000 EEPS=264
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 219  1.676769  3.6704  2.6122  1.6850  4.0493  1.4823  0.5869  0.3095  0.1662
 220  1.676833  3.6700  2.6070  1.6892  4.0458  1.4744  0.5775  0.2996  0.1557
 221  1.676895  3.6699  2.6017  1.6934  4.0419  1.4663  0.5681  0.2895  0.1453
 222  1.676957  3.6696  2.5966  1.6976  4.0377  1.4582  0.5587  0.2795  0.1348
 223  1.677021  3.6694  2.5915  1.7017  4.0334  1.4499  0.5492  0.2694  0.1243
 224  1.677084  3.6691  2.5863  1.7059  4.0296  1.4420  0.5399  0.2595  0.1139
 225  1.677146  3.6689  2.5812  1.7101  4.0254  1.4338  0.5305  0.2495  0.1035
 226  1.677210  3.6686  2.5760  1.7142  4.0213  1.4257  0.5210  0.2395  0.0931
 227  1.677770  3.6663  2.5297  1.7515  3.9855  1.3532  0.4372  0.1500 -0.0004
 228  1.678342  3.6640  2.4828  1.7891  3.9513  1.2811  0.3530  0.0602 -0.0945
 229  1.678874  3.6617  2.4397  1.8235  3.9228  1.2161  0.2764 -0.0219 -0.1806
 230  1.679403  3.6596  2.3979  1.8569  3.8962  1.1538  0.2024 -0.1013 -0.2639
 231  1.679904  3.6576  2.3604  1.8867  3.8737  1.0987  0.1367 -0.1720 -0.3381
 232  1.680407  3.6559  2.3279  1.9125  3.8554  1.0518  0.0803 -0.2330 -0.4023
 233  1.680903  3.6549  2.3095  1.9274  3.8439  1.0244  0.0477 -0.2681 -0.4392
 234  1.681414  3.6563  2.3304  1.9116  3.8491  1.0505  0.0811 -0.2314 -0.4001
 235  1.682024  3.6610  2.4193  1.8417  3.8975  1.1780  0.2343 -0.0660 -0.2261
 236  1.682829  3.6662  2.5072  1.7752  3.9274  1.2941  0.3783  0.0909 -0.0599
 237  1.683903  3.6651  2.4874  1.7907  3.9182  1.2661  0.3444  0.0541 -0.0987
 238  1.684993  3.6595  2.3805  1.8754  3.8537  1.1082  0.1565 -0.1475 -0.3102
 239  1.685902  3.6553  2.3015  1.9378  3.8114  0.9950  0.0201 -0.2948 -0.4653
 240  1.686704  3.6512  2.2260  1.9972  3.7745  0.8894 -0.1084 -0.4346 -0.6127
 241  1.687397  3.6474  2.1563  2.0518  3.7435  0.7940 -0.2254 -0.5624 -0.7479
 242  1.688023  3.6437  2.0890  2.1045  3.7165  0.7037 -0.3369 -0.6850 -0.8779
 243  1.688579  3.6401  2.0247  2.1546  3.6936  0.6194 -0.4418 -0.8011 -1.0014
 244  1.689079  3.6366  1.9624  2.2030  3.6751  0.5403 -0.5412 -0.9123 -1.1202
 245  1.689521  3.6331  1.9028  2.2487  3.6609  0.4673 -0.6336 -1.0168 -1.2325
 246  1.689925  3.6297  1.8443  2.2937  3.6486  0.3970 -0.7229 -1.1188 -1.3426
 247  1.690289  3.6263  1.7870  2.3375  3.6378  0.3299 -0.8081 -1.2175 -1.4497
 248  1.690619  3.6230  1.7311  2.3802  3.6279  0.2659 -0.8893 -1.3127 -1.5539
 249  1.690924  3.6196  1.6760  2.4221  3.6187  0.2047 -0.9672 -1.4056 -1.6562
 250  1.691197  3.6164  1.6228  2.4625  3.6098  0.1471 -1.0403 -1.4943 -1.7547
 251  1.691448  3.6133  1.5709  2.5019  3.6012  0.0927 -1.1092 -1.5798 -1.8504
 252  1.691678  3.6102  1.5203  2.5402  3.5918  0.0409 -1.1744 -1.6623 -1.9436
 253  1.691888  3.6071  1.4708  2.5776  3.5835 -0.0076 -1.2352 -1.7418 -2.0343
