#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 3.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 197  1.480015  3.6898  3.1593  1.1611  4.9132  2.6311  1.8295  1.5948  1.4841
 198  1.480541  3.6887  3.1351  1.1813  4.8844  2.5888  1.7822  1.5454  1.4331
 199  1.481064  3.6878  3.1116  1.2015  4.8516  2.5449  1.7343  1.4958  1.3820
 200  1.481589  3.6869  3.0879  1.2215  4.8219  2.5023  1.6873  1.4468  1.3314
 201  1.482112  3.6860  3.0646  1.2415  4.7914  2.4597  1.6403  1.3980  1.2810
 202  1.482635  3.6851  3.0414  1.2613  4.7606  2.4169  1.5936  1.3493  1.2310
 203  1.483157  3.6842  3.0182  1.2810  4.7316  2.3750  1.5473  1.3010  1.1812
 204  1.483677  3.6832  2.9949  1.3007  4.7034  2.3334  1.5012  1.2528  1.1316
 205  1.484195  3.6823  2.9716  1.3203  4.6761  2.2923  1.4554  1.2051  1.0821
 206  1.484712  3.6813  2.9483  1.3399  4.6492  2.2513  1.4097  1.1572  1.0328
 207  1.485224  3.6803  2.9251  1.3595  4.6218  2.2102  1.3640  1.1094  0.9834
 208  1.485734  3.6794  2.9019  1.3791  4.5948  2.1693  1.3184  1.0618  0.9342
 209  1.486241  3.6784  2.8785  1.3986  4.5698  2.1291  1.2731  1.0142  0.8849
 210  1.486744  3.6775  2.8550  1.4182  4.5441  2.0887  1.2277  0.9665  0.8356
 211  1.487243  3.6765  2.8316  1.4378  4.5185  2.0481  1.1822  0.9188  0.7861
 212  1.487739  3.6755  2.8081  1.4574  4.4932  2.0077  1.1368  0.8712  0.7369
 213  1.488234  3.6744  2.7848  1.4769  4.4684  1.9677  1.0917  0.8239  0.6877
 214  1.488730  3.6734  2.7616  1.4962  4.4438  1.9281  1.0470  0.7769  0.6392
 215  1.489224  3.6724  2.7385  1.5156  4.4194  1.8884  1.0024  0.7300  0.5905
