objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671262272357017,132.99154413131,11.7273628750759,21.27954,18.73086,17.28469,16.5615,16.17304,0.07899801,0.008303141,0.005140542,0.005224874,0.006964172
1237671262272357005,132.975244598352,11.786722030252,22.217,19.54839,18.11819,17.20663,16.70459,0.15588,0.01287744,0.00684035,0.005952629,0.008538244
1237671262272356729,133.027208973593,11.8021901513534,20.27225,19.01986,18.52398,18.35445,18.27521,0.0408533,0.009571864,0.008236408,0.009156295,0.01980071
1237671262272356717,133.02766994741,11.8293402016617,24.11133,22.95771,22.22544,22.02485,22.52175,0.6822109,0.1904233,0.1314997,0.1480941,0.4844691
1237671262272356648,133.022991622222,11.7788548790207,17.50175,15.92334,15.36682,15.20553,15.13451,0.009536264,0.003456813,0.003786343,0.004538869,0.005228275
1237671262272356645,133.022433100315,11.7776007462771,24.17169,21.95695,20.91633,20.15332,19.53129,0.613677,0.1254326,0.05892912,0.03785507,0.05734667
1237671262272356632,133.021262674624,11.7725935652552,16.96754,15.45191,14.72779,14.65705,14.57884,0.008476574,0.003880447,0.004163188,0.005514293,0.005865183
1237671262272356625,133.018259115698,11.790161998348,24.57364,22.73919,21.7019,21.96437,21.54306,0.6207982,0.1397086,0.07221254,0.1167485,0.2534437
1237671262272356624,133.020988274162,11.792035389202,21.07058,21.72276,20.73432,19.61814,20.8733,0.07895212,0.06299539,0.0346054,0.02174292,0.1417796
1237671262272356622,133.020657983765,11.793864038603,17.03203,15.52027,14.5422,14.77467,14.67145,0.008810642,0.003623699,0.00337567,0.005284966,0.005748194
1237671262272356614,133.00507695751,11.8176237963718,23.51576,25.00615,22.82569,23.14267,22.74193,0.4557228,0.623965,0.2000142,0.3216911,0.4427882
1237671262272356613,133.016641999192,11.8207423397743,22.84938,22.62215,22.82455,22.9392,21.81202,0.2755001,0.1291842,0.1924298,0.2650026,0.2963936
1237671262272356612,133.006936153348,11.8142175259879,24.23464,23.10025,22.9611,22.58089,21.44742,0.6174414,0.1934657,0.2168423,0.1995632,0.2306916
1237671262272356608,133.008922309536,11.8189677344817,16.15531,15.08321,13.25924,14.76947,14.41399,0.01014487,0.005588484,0.001753377,0.01625303,0.01041061
1237671262272356598,132.969466960749,11.8388741854705,24.84447,23.75097,24.47616,22.68373,22.88608,0.7151104,0.3498131,0.6372237,0.2504394,0.4951992
1237671262272356596,132.970291301905,11.8401103673808,25.52934,23.1101,23.72516,23.23785,22.22349,0.5170837,0.2047655,0.4273588,0.3784778,0.4197388
1237671262272356583,132.987630463524,11.8455365220693,24.39219,25.32638,24.14888,24.40269,21.3448,0.6205961,0.567744,0.49026,0.5008726,0.2112375
1237671262272356576,132.962264329564,11.8375420307081,24.54299,24.10094,21.64772,21.09109,20.47595,0.6400759,0.4041342,0.06910806,0.05607197,0.1055599
